id , 3HSP Source name , BZcat name , R.A. , Dec , NVSS/FIRSTflux density(mJy) , X-ray flux d. @ 1keV (μJy) , Log(peak flux) , FOM , γ-ray counterpart , Fermi γ-ray slope , 2WHSP name
1075 , "3HSPJ122012.1-000306" , "5BZBJ1220-0003" , "12 20 12.14" , "-00 03 06.01" , "9.5" , "0.08" , "-12.3" , 0.2 , "" , "" , "2WHSPJ122012.1-000306"
1076 , "3HSPJ122014.5-245948" , "" , "12 20 14.52" , "-24 59 48.01" , "10.9" , "" , ">-11.8" , 0.63 , "4FGL J1220.1-2458" , "2.25" , ""
1077 , "3HSPJ122019.1-371414" , "" , "12 20 19.8" , "-37 14 13.99" , "6.9" , "" , "-11.8" , 0.63 , "4FGL J1220.2-3713" , "2.05" , "2WHSPJ122019.8-371413"
1078 , "3HSPJ122033.6+033807" , "" , "12 20 33.61" , "+03 38 07.0" , "1" , "" , "-13.2" , 0.03 , "" , "" , "2WHSPJ122033.5+033807"
1079 , "3HSPJ122044.6+690525" , "" , "12 20 44.56" , "+69 05 25.0" , "8.2" , "0.69" , "-12" , 0.4 , "3FGL J1218.5+6912" , "" , "2WHSPJ122044.5+690525"
1080 , "3HSPJ122107.8+474228" , "5BZGJ1221+4742" , "12 21 07.78" , "+47 42 28.0" , "42.5" , "0.21" , "-12.2" , 0.25 , "" , "" , "2WHSPJ122107.6+474228"
1081 , "3HSPJ122114.4+352239" , "" , "12 21 14.44" , "+35 22 38.99" , "13.6" , "0.07" , "-12.7" , 0.08 , "" , "" , "2WHSPJ122114.4+352238"
1082 , "3HSPJ122122.0+301037" , "5BZBJ1221+3010" , "12 21 21.95" , "+30 10 36.98" , "71.6" , "3.8" , "-10.8" , 6.31 , "4FGL J1221.3+3010" , "1.66" , "2WHSPJ122121.9+301036"
1083 , "3HSPJ122158.1+493413" , "" , "12 21 58.07" , "+49 34 13.0" , "8.9" , "" , "-13.1" , 0.03 , "" , "" , "2WHSPJ122158.0+493413"
1084 , "3HSPJ122208.8+030718" , "" , "12 22 08.77" , "+03 07 18.01" , "3.6" , "0.58" , ">-11.8" , 0.63 , "" , "" , "2WHSPJ122208.6+030718"
1085 , "3HSPJ122211.0+354058" , "5BZBJ1222+3540" , "12 22 11.4" , "+35 40 58.0" , "6.6" , "0.06" , "-12.3" , 0.2 , "" , "" , "2WHSPJ122211.4+354058"
1086 , "3HSPJ122239.4-345841" , "" , "12 22 39.38" , "-34 58 41.01" , "5.2" , "" , "-11.9" , 0.5 , "" , "" , "2WHSPJ122239.2-345841"
1087 , "3HSPJ122304.1+453444" , "" , "12 23 04.9" , "+45 34 44.0" , "4.5" , "0.03" , "-12.9" , 0.05 , "" , "" , "2WHSPJ122304.9+453444"
1088 , "3HSPJ122307.2+110038" , "" , "12 23 07.24" , "+11 00 38.01" , "1.6" , "0.13" , "-12.3" , 0.2 , "4FGL J1223.0+1100" , "1.99" , "2WHSPJ122307.2+110038"
1089 , "3HSPJ122327.5+082030" , "" , "12 23 27.49" , "+08 20 30.01" , "12.2" , "" , "-12.5" , 0.13 , "4FGL J1223.5+0818" , "1.98" , ""
1090 , "3HSPJ122337.0-303250" , "" , "12 23 37.01" , "-30 32 49.99" , "8.3" , "0.35" , "-11.7" , 0.79 , "4FGL J1223.6-3032" , "1.89" , "2WHSPJ122337.0-303249"
1091 , "3HSPJ122340.1+124203" , "" , "12 23 40.14" , "+12 42 02.98" , "56.5" , "" , "-12.6" , 0.1 , "" , "" , "2WHSPJ122340.0+124202"
1092 , "3HSPJ122352.1+302726" , "" , "12 23 52.12" , "+30 27 25.99" , "15.9" , "" , "-12.9" , 0.05 , "" , "" , "2WHSPJ122352.0+302725"
1093 , "3HSPJ122353.0+465048" , "5BZGJ1223+4650" , "12 23 53.02" , "+46 50 48.01" , "13.2" , "0.08" , "-12.5" , 0.13 , "FL8Y J1223.8+4650" , "" , "2WHSPJ122352.9+465048"
1094 , "3HSPJ122358.1+795328" , "5BZBJ1223+7953" , "12 23 58.06" , "+79 53 27.99" , "31.7" , "" , "-12.7" , 0.08 , "4FGL J1223.9+7954" , "1.74" , ""
1095 , "3HSPJ122401.0+223939" , "5BZBJ1224+2239" , "12 24 01.01" , "+22 39 38.98" , "110.8" , "0.05" , "-12.5" , 0.13 , "4FGL J1224.1+2239" , "1.64" , ""
1096 , "3HSPJ122424.2+243623" , "5BZBJ1224+2436" , "12 24 24.19" , "+24 36 23.0" , "26" , "0.29" , "-11.2" , 2.51 , "4FGL J1224.4+2436" , "1.89" , "2WHSPJ122424.1+243623"
1097 , "3HSPJ122514.2+721447" , "5BZBJ1225+7214" , "12 25 14.21" , "+72 14 47.0" , "5.4" , "0.2" , ">-11.8" , 0.63 , "" , "" , "2WHSPJ122514.2+721447"
1098 , "3HSPJ122525.3-155317" , "" , "12 25 25.29" , "-15 53 17.01" , "8.1" , "0.17" , "-12.4" , 0.16 , "" , "" , "2WHSPJ122525.1-155317"
1099 , "3HSPJ122536.8-344721" , "" , "12 25 36.82" , "-34 47 21.01" , "27.4" , "" , "-12" , 0.4 , "4FGL J1225.3-3446 " , "1.76" , ""
1100 , "3HSPJ122644.2+063853" , "5BZBJ1226+0638" , "12 26 44.21" , "+06 38 53.01" , "17.4" , "0.4" , "-11.6" , 1 , "4FGL J1226.7+0637" , "1.56" , "2WHSPJ122644.2+063853"
1101 , "3HSPJ122809.1-022136" , "5BZBJ1228-0221" , "12 28 09.12" , "-02 21 35.99" , "1.5" , "0.33" , "-12.1" , 0.32 , "" , "" , "2WHSPJ122809.1-022135"
1102 , "3HSPJ122820.5+155655" , "" , "12 28 20.52" , "+15 56 54.99" , "8.7" , "" , "-12.2" , 0.25 , "" , "" , "2WHSPJ122820.5+155654"
1103 , "3HSPJ122903.0-140251" , "" , "12 29 03.01" , "-14 02 50.99" , "20.7" , "0.12" , "-12.3" , 0.2 , "" , "" , "2WHSPJ122902.9-140250"
1104 , "3HSPJ122944.5+164004" , "" , "12 29 44.52" , "+16 40 04.0" , "10.4" , "0.24" , "-12.3" , 0.2 , "" , "" , "2WHSPJ122944.5+164004"
1105 , "3HSPJ123014.1+251807" , "5BZBJ1230+2518" , "12 30 14.08" , "+25 18 06.98" , "244.1" , "0.42" , "-10.7" , 7.94 , "4FGL J1230.2+2517" , "2.24" , "2WHSPJ123013.9+251806"
1106 , "3HSPJ123123.1+142124" , "5BZBJ1231+1421" , "12 31 23.9" , "+14 21 24.01" , "55.6" , "" , "-11.8" , 0.63 , "4FGL J1231.5+1421" , "2.07" , "2WHSPJ123123.8+142124"
1107 , "3HSPJ123131.4+641418" , "5BZBJ1231+6414" , "12 31 31.39" , "+64 14 17.98" , "58.9" , "0.47" , "-11.8" , 0.63 , "4FGL J1231.6+6415" , "1.94" , "2WHSPJ123131.3+641417"
1108 , "3HSPJ123143.6+284749" , "5BZBJ1231+2847" , "12 31 43.55" , "+28 47 48.98" , "141.6" , "0.36" , "-11.4" , 1.58 , "4FGL J1231.7+2847" , "1.95" , ""
1109 , "3HSPJ123205.0-105600" , "" , "12 32 04.97" , "-10 55 59.98" , "11" , "" , "-12.7" , 0.08 , "" , "" , ""
1110 , "3HSPJ123235.9-372056" , "" , "12 32 35.94" , "-37 20 56.0" , "5.7" , "" , "-12.3" , 0.2 , "4FGL J1232.5-3720" , "1.92" , ""
1111 , "3HSPJ123305.1+170133" , "5BZBJ1233+1701" , "12 33 05.13" , "+17 01 32.98" , "31.4" , "" , "-11.8" , 0.63 , "4FGL J1233.1+1703" , "1.86" , ""
1112 , "3HSPJ123353.4+145925" , "" , "12 33 53.43" , "+14 59 25.0" , "3.9" , "" , "-12.8" , 0.06 , "" , "" , "2WHSPJ123353.3+145925"
1113 , "3HSPJ123402.4+281502" , "" , "12 34 02.36" , "+28 15 02.01" , "5.6" , "" , "-12.3" , 0.2 , "" , "" , "2WHSPJ123402.2+281502"
1114 , "3HSPJ123417.2-385635" , "5BZBJ1234-3856" , "12 34 17.15" , "-38 56 35.01" , "7" , "1.06" , "-11.7" , 0.79 , "" , "" , "2WHSPJ123417.0-385635"
1115 , "3HSPJ123444.2-043622" , "" , "12 34 44.21" , "-04 36 21.99" , "30.4" , "" , ">-12" , 0.4 , "4FGL J1234.7-0434" , "1.65" , ""
1116 , "3HSPJ123511.2-140323" , "5BZBJ1235-1403" , "12 35 11.18" , "-14 03 23.0" , "4.2" , "0.52" , "-11.8" , 0.63 , "" , "" , "2WHSPJ123511.0-140323"
1117 , "3HSPJ123554.7+055213" , "" , "12 35 54.72" , "+05 52 13.0" , "1.7" , "0.07" , "-12.8" , 0.06 , "" , "" , "2WHSPJ123554.7+055213"
1118 , "3HSPJ123623.0+390000" , "5BZBJ1236+3900" , "12 36 23.01" , "+39 00 00.0" , "37.1" , "0.05" , "-12.3" , 0.2 , "4FGL J1236.3+3858" , "2.49" , ""
1119 , "3HSPJ123705.6+302005" , "5BZBJ1237+3020" , "12 37 05.61" , "+30 20 04.99" , "5.8" , "0.29" , "-12.2" , 0.25 , "" , "" , "2WHSPJ123705.5+302004"
1120 , "3HSPJ123739.1+625842" , "5BZBJ1237+6258" , "12 37 39.07" , "+62 58 41.98" , "12.6" , "0.15" , "-11.9" , 0.5 , "4FGL J1237.8+6256" , "1.84" , "2WHSPJ123738.9+625841"
1121 , "3HSPJ123800.2+263553" , "" , "12 38 00.17" , "+26 35 53.01" , "2.2" , "0.07" , "-12.9" , 0.05 , "" , "" , "2WHSPJ123800.1+263553"
1122 , "3HSPJ123826.0+443137" , "5BZBJ1238+4431" , "12 38 26.03" , "+44 31 36.98" , "12.9" , "0.03" , "-12.8" , 0.06 , "" , "" , "2WHSPJ123825.9+443136"
1123 , "3HSPJ123922.6+413251" , "5BZBJ1239+4132" , "12 39 22.63" , "+41 32 50.99" , "9.2" , "0.29" , ">-12.2" , 0.25 , "" , "" , "2WHSPJ123922.6+413250"
1124 , "3HSPJ124021.0-714857" , "" , "12 40 21.2" , "-71 48 56.98" , "" , "2.27" , "-11.4" , 1.58 , "4FGL J1240.4-7148" , "1.96" , ""
1125 , "3HSPJ124112.1+495548" , "" , "12 41 12.06" , "+49 55 47.99" , "22.4" , "0.05" , "-12.7" , 0.08 , "" , "" , "2WHSPJ124112.0+495547"
1126 , "3HSPJ124141.0+344030" , "5BZBJ1241+3440" , "12 41 41.4" , "+34 40 29.99" , "10.4" , "0.35" , "-11.7" , 0.79 , "4FGL J1241.5+3439" , "1.96" , "2WHSPJ124141.4+344029"
1127 , "3HSPJ124148.3+063601" , "5BZBJ1241+0636" , "12 41 48.27" , "+06 36 01.0" , "16.6" , "0.33" , "-12" , 0.4 , "4FGL J1241.9+0636" , "1.78" , "2WHSPJ124148.1+063601"
1128 , "3HSPJ124149.4-145558" , "5BZBJ1241-1455" , "12 41 49.39" , "-14 55 58.0" , "17.3" , "0.19" , "-11.5" , 1.26 , "4FGL J1241.8-1456" , "1.96" , "2WHSPJ124149.3-145558"
1129 , "3HSPJ124232.3+763417" , "5BZBJ1242+7634" , "12 42 32.33" , "+76 34 17.0" , "8.8" , "0.15" , "-12.3" , 0.2 , "" , "" , "2WHSPJ124232.2+763417"
1130 , "3HSPJ124312.7+362744" , "5BZBJ1243+3627" , "12 43 12.73" , "+36 27 43.99" , "148" , "2.68" , "-10.8" , 6.31 , "4FGL J1243.2+3627" , "1.77" , "2WHSPJ124312.7+362743"
1131 , "3HSPJ124430.8+351003" , "" , "12 44 30.75" , "+35 10 02.99" , "3.6" , "" , "-12.7?" , 0.08 , "" , "" , "2WHSPJ124430.7+351002"
1132 , "3HSPJ124700.7+442318" , "5BZBJ1247+4423" , "12 47 00.73" , "+44 23 17.98" , "10.7" , "0.53" , "-12" , 0.4 , "4FGL J1247.0+4421" , "2.06" , "2WHSPJ124700.7+442317"
1133 , "3HSPJ124816.6+074258" , "" , "12 48 16.63" , "+07 42 57.99" , "14.8" , "0.1" , "-12.7?" , 0.08 , "" , "" , "2WHSPJ124816.6+074257"
1134 , "3HSPJ124919.3-280834" , "" , "12 49 19.31" , "-28 08 34.0" , "26.9" , "0.22" , "-11.8" , 0.63 , "4FGL J1249.2-2809" , "2.07" , "2WHSPJ124919.3-280834"
1135 , "3HSPJ124946.7+370747" , "5BZBJ1249+3707" , "12 49 46.73" , "+37 07 46.99" , "6.1" , "0.06" , "-12.2" , 0.25 , "4FGL J1249.8+3707" , "1.65" , ""
1136 , "3HSPJ125015.5+315559" , "5BZBJ1250+3155" , "12 50 15.53" , "+31 55 59.01" , "5.7" , "0.37" , "-12.1" , 0.32 , "1BIGB_J125015.4+315559" , "1.76" , "2WHSPJ125015.4+315559"
1137 , "3HSPJ125117.9+103907" , "5BZBJ1251+1039" , "12 51 17.87" , "+10 39 06.98" , "5.2" , "0.21" , "-11.9" , 0.5 , "4FGL J1251.2+1039" , "2.44" , "2WHSPJ125117.8+103906"
1138 , "3HSPJ125134.8-295843" , "5BZBJ1251-2958" , "12 51 34.83" , "-29 58 42.99" , "10.5" , "0.58" , "-12" , 0.4 , "" , "" , "2WHSPJ125134.8-295842"
1139 , "3HSPJ125301.0+382625" , "5BZBJ1253+3826" , "12 53 00.96" , "+38 26 25.0" , "4.9" , "0.32" , "-12" , 0.4 , "" , "" , "2WHSPJ125300.8+382625"
1140 , "3HSPJ125341.3-393159" , "5BZGJ1253-3931" , "12 53 41.26" , "-39 31 59.01" , "53.9" , "1.93" , "-11.3" , 2 , "4FGL J1253.5-3934" , "1.83" , "2WHSPJ125341.2-393159"
1141 , "3HSPJ125347.0+032630" , "5BZGJ1253+0326" , "12 53 46.99" , "+03 26 30.01" , "107.1" , "0.38" , "-11.7" , 0.79 , "4FGL J1253.8+0327" , "1.84" , ""
1142 , "3HSPJ125359.3+624257" , "5BZBJ1253+6242" , "12 53 59.34" , "+62 42 56.98" , "12.1" , "0.15" , "-12.3" , 0.2 , "4FGL J1253.8+6242" , "1.9" , "2WHSPJ125359.2+624256"
1143 , "3HSPJ125408.1-280931" , "" , "12 54 08.14" , "-28 09 30.99" , "32.6" , "" , "-11.8" , 0.63 , "" , "" , "2WHSPJ125408.1-280930"
1144 , "3HSPJ125433.3+221103" , "5BZBJ1254+2211" , "12 54 33.27" , "+22 11 03.01" , "101.3" , "0.15" , "-11.6" , 1 , "4FGL J1254.5+2210" , "2" , ""
1145 , "3HSPJ125445.5+470132" , "" , "12 54 45.47" , "+47 01 32.01" , "13.5" , "0.06" , "-12.6" , 0.1 , "" , "" , "2WHSPJ125445.4+470132"
1146 , "3HSPJ125447.6-142150" , "" , "12 54 47.63" , "-14 21 50.0" , "4.9" , "0.29" , "-12.3" , 0.2 , "" , "" , "2WHSPJ125447.5-142150"
1147 , "3HSPJ125449.3+570452" , "" , "12 54 49.29" , "+57 04 51.99" , "17.5" , "" , "-12.8" , 0.06 , "" , "" , "2WHSPJ125449.2+570451"
1148 , "3HSPJ125509.8+280417" , "" , "12 55 09.81" , "+28 04 17.0" , "1.7" , "0.04" , "-12.9" , 0.05 , "" , "" , "2WHSPJ125509.7+280417"
1149 , "3HSPJ125528.6+091100" , "" , "12 55 28.62" , "+09 10 59.98" , "3.3" , "" , "-12.3" , 0.2 , "" , "" , "2WHSPJ125528.6+091059"
1150 , "3HSPJ125548.1+141108" , "" , "12 55 48.06" , "+14 11 08.01" , "3.3" , "0.1" , "-12.3" , 0.2 , "" , "" , "2WHSPJ125547.9+141108"
1151 , "3HSPJ125616.0-114637" , "5BZGJ1256-1146" , "12 56 15.95" , "-11 46 36.98" , "54.5" , "0.41" , "-11.5" , 1.26 , "4FGL J1256.2-1146" , "1.91" , ""
1152 , "3HSPJ125639.4+060907" , "5BZBJ1256+0609" , "12 56 39.35" , "+06 09 06.98" , "64.9" , "0.14" , "-12.5" , 0.13 , "" , "" , "2WHSPJ125639.3+060906"
1153 , "3HSPJ125708.4+264925" , "" , "12 57 08.36" , "+26 49 24.99" , "5.1" , "0.16" , "-12.6" , 0.1 , "" , "" , "2WHSPJ125708.2+264924"
1154 , "3HSPJ125724.0+483232" , "" , "12 57 23.95" , "+48 32 31.99" , "1" , "0.04" , "-12.9?" , 0.05 , "" , "" , "2WHSPJ125723.8+483231"
1155 , "3HSPJ125731.9+241240" , "5BZBJ1257+2412" , "12 57 31.92" , "+24 12 39.99" , "14.9" , "1.08" , "-11.5" , 1.26 , "4FGL J1257.6+2413" , "1.8" , "2WHSPJ125731.9+241239"
1156 , "3HSPJ125820.8+612045" , "5BZBJ1258+6120" , "12 58 20.81" , "+61 20 44.98" , "10.3" , "" , "-12.3" , 0.2 , "4FGL J1258.3+6121" , "2.1" , ""
1157 , "3HSPJ125821.5+212351" , "" , "12 58 21.46" , "+21 23 51.0" , "26.2" , "0.08" , "-12.5" , 0.13 , "3FGL J1258.4+2123" , "2.64" , ""
1158 , "3HSPJ125822.1+062827" , "" , "12 58 22.8" , "+06 28 27.01" , "3.7" , "0.26" , "-12.4" , 0.16 , "" , "" , "2WHSPJ125822.8+062827"
1159 , "3HSPJ125848.0-044745" , "5BZBJ1258-0447" , "12 58 48.04" , "-04 47 44.98" , "4.3" , "2.06" , "-11.6" , 1 , "4FGL J1258.7-0452" , "1.84" , "2WHSPJ125847.9-044744"
1160 , "3HSPJ125908.6+412937" , "" , "12 59 08.64" , "+41 29 36.99" , "45.9" , "0.21" , "-12.3" , 0.2 , "" , "" , "2WHSPJ125908.5+412936"
1161 , "3HSPJ125949.1-374858" , "" , "12 59 49.8" , "-37 48 57.99" , "75" , "" , "-12.1" , 0.32 , "4FGL J1259.8-3749" , "2.24" , ""
1162 , "3HSPJ130008.5+175537" , "5BZBJ1300+1755" , "13 00 08.51" , "+17 55 36.98" , "16.2" , "" , "-12.7?" , 0.08 , "4FGL J1300.0+1753" , "2.56" , ""
1163 , "3HSPJ130058.5-231215" , "" , "13 00 58.54" , "-23 12 15.01" , "777.5" , "0.47" , "-11.6" , 1 , "" , "" , ""
1164 , "3HSPJ130145.7+405624" , "5BZBJ1301+4056" , "13 01 45.65" , "+40 56 23.99" , "29.1" , "0.18" , "-11.9" , 0.5 , "4FGL J1301.6+4056" , "2.08" , "2WHSPJ130145.6+405623"
1165 , "3HSPJ130255.3+505618" , "5BZBJ1302+5056" , "13 02 55.26" , "+50 56 17.98" , "3" , "0.3" , "-12.1" , 0.32 , "" , "" , "2WHSPJ130255.1+505617"
1166 , "3HSPJ130421.0-435310" , "5BZBJ1304-4353" , "13 04 20.99" , "-43 53 09.99" , "43.8" , "1.43" , "-11" , 3.98 , "4FGL J1304.3-4353" , "1.91" , "2WHSPJ130420.9-435309"
1167 , "3HSPJ130531.3+385522" , "5BZBJ1305+3855" , "13 05 31.26" , "+38 55 22.0" , "43.5" , "0.13" , "-12.2" , 0.25 , "" , "" , "2WHSPJ130531.2+385522"
1168 , "3HSPJ130619.7-023643" , "" , "13 06 19.73" , "-02 36 42.98" , "0.9" , "0.12" , "-12.8?" , 0.06 , "" , "" , "2WHSPJ130619.6-023642"
1169 , "3HSPJ130631.0+192244" , "" , "13 06 30.98" , "+19 22 44.0" , "1.3" , "0.32" , "-12.1" , 0.32 , "" , "" , "2WHSPJ130630.9+192244"
1170 , "3HSPJ130711.9+115316" , "" , "13 07 11.93" , "+11 53 16.0" , "4.7" , "0.15" , "-12.1" , 0.32 , "" , "" , "2WHSPJ130711.8+115316"
1171 , "3HSPJ130713.4-034431" , "" , "13 07 13.37" , "-03 44 30.98" , "33.1" , "0.2" , "-12.1" , 0.32 , "1BIGB_J130713.3-034430" , "2.55" , "2WHSPJ130713.3-034430"
1172 , "3HSPJ130738.0-425938" , "5BZBJ1307-4259" , "13 07 37.98" , "-42 59 38.0" , "36.2" , "1.43" , "-10.8" , 6.31 , "4FGL J1307.6-4259" , "1.84" , "2WHSPJ130737.9-425938"
1173 , "3HSPJ130750.7+124828" , "" , "13 07 50.68" , "+12 48 28.0" , "8.1" , "0.06" , "-12.8" , 0.06 , "" , "" , "2WHSPJ130750.5+124828"
1174 , "3HSPJ130931.5-224425" , "" , "13 09 31.48" , "-22 44 25.0" , "40.6" , "" , "-12.5" , 0.13 , "" , "" , "2WHSPJ130931.0-224432"
1175 , "3HSPJ131012.2-115749" , "5BZBJ1310-1157" , "13 10 12.17" , "-11 57 48.99" , "83.4" , "0.42" , "-11.8" , 0.63 , "4FGL J1310.2-1158" , "1.8" , "2WHSPJ131012.1-115748"
1176 , "3HSPJ131106.5+003510" , "5BZBJ1311+0035" , "13 11 06.47" , "+00 35 09.99" , "17.8" , "0.43" , "-12" , 0.4 , "4FGL J1311.0+0034" , "1.55" , "2WHSPJ131106.4+003509"
1177 , "3HSPJ131146.0+395317" , "5BZBJ1311+3953" , "13 11 46.03" , "+39 53 17.01" , "15.8" , "" , "-12.7" , 0.08 , "4FGL J1311.8+3954" , "1.82" , ""
1178 , "3HSPJ131155.8+085341" , "5BZBJ1311+0853" , "13 11 55.77" , "+08 53 40.99" , "5.5" , "0.88" , "-12.1" , 0.32 , "" , "" , "2WHSPJ131155.6+085340"
1179 , "3HSPJ131234.7-185901" , "" , "13 12 34.69" , "-18 59 00.99" , "18" , "0.29" , "-12.5" , 0.13 , "4FGL J1312.6-1900" , "1.97" , "2WHSPJ131234.6-185900"
1180 , "3HSPJ131248.8-235047" , "" , "13 12 48.77" , "-23 50 47.0" , "28.9" , "" , "-11.9" , 0.5 , "4FGL J1312.8-2350" , "1.8" , "2WHSPJ131248.7-235047"
1181 , "3HSPJ131330.1+020105" , "5BZBJ1313+0201" , "13 13 30.13" , "+02 01 05.01" , "61.3" , "0.18" , "-12.2" , 0.25 , "" , "" , "2WHSPJ131330.1+020105"
1182 , "3HSPJ131440.6-090148" , "" , "13 14 40.62" , "-09 01 47.99" , "10" , "0.3" , "-12.2?" , 0.25 , "" , "" , "2WHSPJ131440.6-090147"
1183 , "3HSPJ131503.4-423649" , "5BZGJ1315-4236" , "13 15 03.39" , "-42 36 48.99" , "13.9" , "5.24" , "-10.9" , 5.01 , "4FGL J1315.0-4236" , "2.08" , "2WHSPJ131503.2-423648"
1184 , "3HSPJ131532.6+113331" , "" , "13 15 32.62" , "+11 33 30.99" , "20.7" , "0.85" , "-11.7" , 0.79 , "4FGL J1315.5+1135" , "1.96" , "2WHSPJ131532.5+113330"
1185 , "3HSPJ131553.0-073302" , "" , "13 15 52.97" , "-07 33 02.01" , "25.5" , "0.43" , "-11.2" , 2.51 , "4FGL J1315.9-0732" , "2.02" , ""
1186 , "3HSPJ131639.8+205514" , "" , "13 16 39.84" , "+20 55 14.01" , "12.9" , "0.21" , "-12.2" , 0.25 , "" , "" , "2WHSPJ131639.7+205514"
1187 , "3HSPJ131654.6+301454" , "" , "13 16 54.56" , "+30 14 53.98" , "4.3" , "0.36" , "-12.4" , 0.16 , "4FGL J1316.5+3013" , "2.02" , "2WHSPJ131654.4+301453"
1188 , "3HSPJ131720.0+543512" , "" , "13 17 19.99" , "+54 35 12.01" , "8" , "0.09" , "-12.2" , 0.25 , "" , "" , "2WHSPJ131719.9+543512"
1189 , "3HSPJ131921.3+775822" , "" , "13 19 21.25" , "+77 58 22.0" , "25.9" , "" , "-11.8?" , 0.63 , "4FGL J1319.8+7759" , "1.79" , ""
1190 , "3HSPJ131931.7+140533" , "5BZBJ1319+1405" , "13 19 31.73" , "+14 05 32.99" , "77.1" , "0.06" , "-11.8" , 0.63 , "4FGL J1319.5+1404" , "1.87" , ""
1191 , "3HSPJ132001.2+344445" , "" , "13 20 01.19" , "+34 44 44.98" , "1.2" , "0.05" , "-12.9" , 0.05 , "" , "" , "2WHSPJ132001.0+344444"
1192 , "3HSPJ132057.0+222516" , "" , "13 20 57.4" , "+22 25 15.99" , "12" , "" , "-12.5" , 0.13 , "" , "2.42" , ""
1193 , "3HSPJ132140.7-343752" , "" , "13 21 40.67" , "-34 37 51.99" , "22.2" , "0.32" , "-12" , 0.4 , "" , "" , "2WHSPJ132140.6-343751"
1194 , "3HSPJ132231.5+134430" , "5BZGJ1322+1344" , "13 22 31.48" , "+13 44 30.01" , "8.2" , "0.15" , "-12.4" , 0.16 , "" , "" , "2WHSPJ132231.3+134430"
1195 , "3HSPJ132239.3+494336" , "" , "13 22 39.29" , "+49 43 36.01" , "6.6" , "0.23" , ">-12.1" , 0.32 , "" , "" , "2WHSPJ132239.1+494336"
1196 , "3HSPJ132244.2+664942" , "" , "13 22 44.24" , "+66 49 41.98" , "14.7" , "0.04" , "-12.5" , 0.13 , "" , "" , "2WHSPJ132244.2+664941"
1197 , "3HSPJ132301.0+043951" , "5BZGJ1323+0439" , "13 23 01.01" , "+04 39 51.01" , "37.1" , "1.17" , "-11.9" , 0.5 , "4FGL J1322.9+0437" , "1.74" , "2WHSPJ132301.0+043951"
1198 , "3HSPJ132358.4+140559" , "5BZBJ1323+1405" , "13 23 58.37" , "+14 05 58.99" , "31.3" , "0.32" , "-12.1" , 0.32 , "4FGL J1323.9+1405" , "2.08" , "2WHSPJ132358.3+140558"
1199 , "3HSPJ132527.5-280521" , "" , "13 25 27.53" , "-28 05 21.01" , "25.4" , "0.11" , "-12.4" , 0.16 , "" , "" , "2WHSPJ132527.4-280521"
1200 , "3HSPJ132531.8+662103" , "5BZBJ1325+6621" , "13 25 31.78" , "+66 21 02.98" , "5.2" , "0.04" , "-12.5" , 0.13 , "" , "" , "2WHSPJ132531.6+662102"
1201 , "3HSPJ132541.9-022810" , "5BZBJ1325-0228" , "13 25 41.88" , "-02 28 09.98" , "9.1" , "0.45" , "-12" , 0.4 , "4FGL J1325.6-0227" , "2.16" , "2WHSPJ132541.8-022809"
1202 , "3HSPJ132556.1+080928" , "" , "13 25 56.05" , "+08 09 28.0" , "8.9" , "0.14" , "-12.5?" , 0.13 , "" , "" , "2WHSPJ132555.9+080928"
1203 , "3HSPJ132615.0+293330" , "5BZBJ1326+2933" , "13 26 14.98" , "+29 33 29.98" , "16.5" , "0.76" , "-11.8" , 0.63 , "3FGL J1326.1+2931" , "2.07" , "2WHSPJ132614.8+293329"
1204 , "3HSPJ132617.1+122958" , "5BZGJ1326+1229" , "13 26 17.7" , "+12 29 57.98" , "58.3" , "0.55" , "-11.9" , 0.5 , "4FGL J1326.1+1232" , "2.14" , "2WHSPJ132617.7+122957"
1205 , "3HSPJ132635.9+254958" , "" , "13 26 35.93" , "+25 49 58.0" , "1.5" , "0.06" , "-12.9" , 0.05 , "" , "" , "2WHSPJ132635.8+254958"
1206 , "3HSPJ132745.0-082937" , "" , "13 27 44.98" , "-08 29 36.99" , "16.6" , "0.22" , "-12.4" , 0.16 , "" , "" , "2WHSPJ132744.8-082936"
1207 , "3HSPJ132833.5+114520" , "5BZBJ1328+1145" , "13 28 33.54" , "+11 45 20.01" , "3" , "0.64" , "-12" , 0.4 , "1BIGB_J132833.4+114520" , "2.1" , "2WHSPJ132833.4+114520"
1208 , "3HSPJ132840.6-472749" , "" , "13 28 40.61" , "-47 27 48.99" , "123.6" , "0.61" , "-11.8" , 0.63 , "4FGL J1328.5-4727" , "1.7" , "2WHSPJ132840.6-472748"
1209 , "3HSPJ132845.8+720402" , "" , "13 28 45.82" , "+72 04 01.99" , "8.1" , "" , "-12.3" , 0.2 , "" , "" , "2WHSPJ132845.7+720401"
1210 , "3HSPJ132949.1+071418" , "" , "13 29 49.08" , "+07 14 17.98" , "1.7" , "0.07" , "-12.9?" , 0.05 , "" , "" , "2WHSPJ132949.0+071417"
1211 , "3HSPJ133021.5+444120" , "5BZBJ1330+4441" , "13 30 21.53" , "+44 41 20.0" , "21.2" , "0.09" , "-12.1" , 0.32 , "4FGL J1330.3+4441" , "2.03" , "2WHSPJ133021.4+444120"
